PROPOSALID,TITLE,ABSTRACT,PROPOSALTYPE,PI,TARGET_ID,Source_Name,RA(J2000)(h m s),DEC(J2000)(d m s),Exposure_time(secs),PRIMARYINSTRUMENT
A02_005,Longlook Observations of Three Blazars,"We propose to observe three blazars, namely, Mrk 421, 1ES 1959+650, and 3C 454.3 continuously for 100 ks each with SXT, and repeat the same observations later in the cycle. Using additional archival light curves, we shall precisely determine the X-ray power spectral density (PSD) at hours to years timescales. While detailed X-ray PSD of several Seyfert galaxies --- where the X-rays are from the accretion disk-corona region --- have been obtained before, that of blazars is much rarer. We shall search for any characteristic timescale (e.g., a break) in the PSD and hence test if such patterns translate from the accretion disk to jet. This work will help put additional constraints on the disk-jet connection in AGN. Correlation of multi-band variability from other instruments will provide clues about the mechanism of short-timescale variability in jets possibly driven by radiation loss and turbulence.",Reg,ritaban,T01,Mrk421,11 4 27.314,38 12 31.788,100000.0,sxt
A02_006,X-ray/UV occultations in NGC1365,"We request four 25ks AstroSat observations of NGC1365 with UVIT as the primary instrument. NGC1365 is a Seyfert 1.8 galaxy well known for extraordinary variations of X-ray absorption on short and long timescales. NGC1365 frequently exhibits X-ray eclipses, possibly by the broad-line region clouds, on hours timescale. It also shows Compton-thin to Compton-thick transitions on months-to-years timescale. These dramatic X-ray absorption variations have never been studied in conjunction with optical and ultraviolet observations, to search for associated flux and colour variations in these bands. The main aim of this proposal is to study in detail the X-ray absorption variability of this source, and to search for accompanying variations in the optical spectrum and optical/UV colours with coordinated AstroSat/SALT observations. The proposed observations will also probe if there is a connection between the hard X-ray continuum and the low energy X-ray absorption, and thus to separate absorption and intrinsic X--ray variability.",monitoring,gulabd,T01,NGC1365,3 33 36.372,-36 8 25.440,54000.0,uvit1
A02_008,AstroSAT observations of the next transient X-ray binary in the globular cluster Terzan 5,"The globular cluster Terzan 5 contains numerous transient low-mass X-ray binaries. At least three of these have undergone X-ray outbursts over the past 15 years, showing a variety of intriguing behaviours. We propose a 40 ks AstroSAT observation of the next bright outburst from Terzan 5, to measure its X-ray energy spectrum, characterize its power spectrum, search for pulsations, and study any X-ray bursts that occur.",AToO,cheinke,T01,Terzan 5,17 48 04.80,-24 46 45,40000.0,laxpc1
A02_024,Distinguishing absorption-induced and intrinsic variability in NGC 4388 with ASTROSAT,"We request to observe one bright Seyfert 2 AGN, NGC 4388 for 50 ks with ASTROSAT/SXT, LAXPC and UVIT. The existing RXTE observation of NGC 4388 revealed variability in the absorption column density by a factor of 10 on timescales of 4 hours. As the soft X-ray (E<3 keV) emission is very sensitive to absorption by the circumnuclear material, the study of the hard X-ray emission above 3 keV is the only way to investigate the central engine of the Seyfert 2 galaxy which is obscured by the surrounding torus. The primary goal of the proposed observation is to investigate the nature of the energy and rms spectra below and above 10 keV in order to distinguish between the variability caused by the direct nuclear emission and absorption due to the BLR clouds and/or molecular torus. This study will allow us to test the universality of the AGN unification scheme.",Reg,labani,T01,NGC 4388,12 25 46.747,12 39 43.524,50000.0,sxt
A02_027,"ASTROSAT observation of the accretion disk, corona and companion star in Her X-1","Her X-1 is to be intensely observed by UVIT, SXT, LAXPC, and CZTI instruments for one full binary during main high state. The neutron star illuminates the companion star, accretion disk, accretion stream and disk corona. This causes detectable X-rays and UV from these structures which are orbital phase dependent. Modelling of the orbital-phase dependent light curves in multiple energy band will be used to map these structures in the binary system. Time delays between the pulsations in the different energy bands will enable extraction of line-of-sight travel time delays and distances. The expected scientific results are: i) to obtain the geometry of the X-ray heating of HZ Her, the accretion disk, the accretion stream and the corona; and ii) to precisely determine the inclination of the binary. The improved system inclination will allow precise binary parameters and result in a well-determined neutron star mass.",Reg,dleahy,T01,Her X-1,16 57 49.810,35 20 32.399,24200.0,sxt
A02_028,ASTROSAT multi-wavelength imaging survey of M31,"M31 is the nearest giant spiral galaxy for which we can study the supernova remnants, X-ray sources, and stellar populations. At a distance of 780 kpc, M31 is far enough away that the brightest stars are safe to observe with UVIT, yet close enough to obtain a good census of the supernova remnants, X-ray sources, and hot stellar populations. The high spatial resolution of UVIT will yield outstanding data on the stellar populations of M31. The spatial resolution of SXT is sufficient to resolve the X-ray source populations which includes measuring the supernova remnant population. The resulting multi-wavelength images of M31 will form a legacy dataset to be used for study of the stellar populations of M31, it star formation history and the structure of the galaxy.",Reg,dleahy,T01,M31 No.1,0 42 50.57,41 15 00.82,16030.0,uvit1
A02_028,ASTROSAT multi-wavelength imaging survey of M31,"M31 is the nearest giant spiral galaxy for which we can study the supernova remnants, X-ray sources, and stellar populations. At a distance of 780 kpc, M31 is far enough away that the brightest stars are safe to observe with UVIT, yet close enough to obtain a good census of the supernova remnants, X-ray sources, and hot stellar populations. The high spatial resolution of UVIT will yield outstanding data on the stellar populations of M31. The spatial resolution of SXT is sufficient to resolve the X-ray source populations which includes measuring the supernova remnant population. The resulting multi-wavelength images of M31 will form a legacy dataset to be used for study of the stellar populations of M31, it star formation history and the structure of the galaxy.",Reg,dleahy,T03,M31 No.2,0 44 08.88,41 33 26.45,16030.0,uvit1
A02_029,"Monitoring the Terzan 2 neutron star low-mass X-ray binary 4U 1724-30: state transition, broadband spectrum and timing","Study of spectral and timing properties of different source states, and transitions among them, are used to probe the accretion processes and various X-ray emitting/absorbing components of neutron star low-mass X-ray binaries. Such properties and transitions are poorly observed for low accretion rates. 4U 1724-30, being a rare low-luminosity, persistent source, which shows broadband X-ray spectrum covering the entire AstroSat range, varieties of timing features, and state transitions, is one of the best sources to study accretion processes in the low accretion rate regime. Our proposed three AstroSat observations of 4U 1724-30, each of 10 ks, will find this fluctuating source in different states, and will be useful to study their spectral and timing properties and their transitions. This will advance the knowledge of the low accretion rate regime, and will characterize this less studied source. This proposal relies on the unique broadband and timing capabilities of AstroSat.",monitoring,sudip,T01,4U 1724-30,17 27 33.250,-30 48 7.400,30000.0,sxt
A02_031,UV investigation of an extremely metal poor Globular Cluster,"Globular clusters having a large number of stars can be used to substantiate stellar evolution models. We propose to observe an extremely metal poor globular cluster in our Galaxy that has been observed in the GALEX fields. We propose to observe this globular cluster through UVIT filters to characterise the stellar population, particularly the UV bright stars such as horizontal branch stars.",Reg,sarita,T01,NGC5053,13 16 27.09,+17 42 00.9,5500.0,uvit1
A02_046,Multiwavelength spectral variability in ultra-luminous X-ray source Holmberg II X-1: testing the irradiated disk and the donor star,"Despite intensive studies of the ultraluminous X-ray sources (ULXs) both in X-rays and in optical, there is still no strong and obvious evidence to distinguish among two competitive models: whether they contain stellar-mass or intermediate-mass black holes (IMBHs). What we know exactly is that the ULXs are close binary systems with massive donors. We propose to test the components of the ULX binaries. Recent data show that both UV and optical emissions may be reprocessed in strong heating by X-rays, where UV-optical spectral energy distribution hints at two-component spectra. We propose simultaneous observations of the X-ray variable ULX Holmberg II X-1 with ASTROSAT to test the UV and optical responses to the X-ray variability. Our mail goal is to study correlations between the X-ray-UV-optical data, and to elucidate the model as either a donor and supercritical accretion disk, or a donor and standard irradiative accretion disk with IMBH.",Reg,rita,T01,Holmberg-II X-I,08 18 09.7,+70 41 51.5,10000.0,uvit1
